category_name,canonical_key,kind,source_system,scope,api_name_camel,api_name_snake,where_documented,received_now,evidence_of_receipt,how_to_receive_if_missing,constraints
RPM,rpm,metric,youtube_analytics_api,monetization,,,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/VIDEO_TYPE_AND_DATA_ANALYSIS_REPORT.md; docs/Youtube API + Data/DATA_PROCESSING_REPORT.md,yes,derived in dataForge/unified rows as revenue per 1000 views,"if missing, compute from estimatedRevenue and views","derived metric, not raw API field"
Shares,shares,metric,youtube_analytics_api,video_shared,shares,shares,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/Youtube Analytics Data Categories List.txt; docs/Youtube API + Data/DATA_PROCESSING_REPORT.md,yes,yt_analytics_cache.analyticsByWindow + master rows,,
Sharing Service,sharingService,dimension,youtube_analytics_api,traffic,sharingService,sharing_service,docs/Youtube API + Data/Youtube Analytics Data Categories List.txt,no,not observed in current cache buckets,query share-service breakdown reports,
Shorts Funnel Percent Watched,shortsPercentWatched,metric,youtube_analytics_api,short_only,,,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/analytics_ecosystem_spec.md,no,not in current cache and documented as unavailable via public API,only obtainable from YouTube Studio UI exports/manual capture,not available via public analytics endpoint
Remixes of Your Content,shortsRemixCount,metric,youtube_analytics_api,short_only,,,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/analytics_ecosystem_spec.md,no,not in current cache and documented as unavailable via public API,track manually from Studio until API support exists,not available via public API
Shorts Funnel Swipe Away Rate,shortsSwipeAwayRate,metric,youtube_analytics_api,short_only,,,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/analytics_ecosystem_spec.md,no,not in current cache and documented as unavailable via public API,only obtainable from YouTube Studio UI exports/manual capture,not available via public analytics endpoint
Profile Picture URL,snippet.thumbnails.default.url,field,youtube_data_api_v3,channel,snippet.thumbnails.default.url,,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/DATA_PROCESSING_REPORT.md,yes,yt_analytics_cache.profile.snippet.thumbnails,,
Channel Name,snippet.title,field,youtube_data_api_v3,channel,snippet.title,,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/DATA_PROCESSING_REPORT.md,yes,yt_analytics_cache.profile.snippet.title,,
Subscriber Count,statistics.subscriberCount,field,youtube_data_api_v3,channel,statistics.subscriberCount,,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/DATA_PROCESSING_REPORT.md,yes,yt_analytics_cache.profile.statistics.subscriberCount,,snapshot value; hides if public subscriber count disabled
Total Videos,statistics.videoCount,field,youtube_data_api_v3,channel,statistics.videoCount,,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/DATA_PROCESSING_REPORT.md,yes,yt_analytics_cache.profile.statistics.videoCount,,public+unlisted count only
Total Views,statistics.viewCount,field,youtube_data_api_v3,channel,statistics.viewCount,,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/DATA_PROCESSING_REPORT.md,yes,yt_analytics_cache.profile.statistics.viewCount,,lifetime cumulative counter
Stayed To Watch Percent,stayedToWatch,metric,youtube_analytics_api,short_only,stayedToWatch,,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/VIDEO_TYPE_AND_DATA_ANALYSIS_REPORT.md; docs/Youtube API + Data/analytics_ecosystem_spec.md,partial,canonical metric exists in app contract but often unavailable in API payloads,"if unavailable via API, keep nullable and ingest from export/manual studio snapshot if provided",shorts-specific studio availability varies by endpoint
Sub Continent,subContinent,dimension,youtube_analytics_api,geo,subContinent,sub_continent_code,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md,no,not observed in current cache buckets,query reports with dimensions=subContinent,report support varies
Subscribed Status,subscribedStatus,dimension,youtube_analytics_api,demographic,subscribedStatus,subscribed_status,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/Youtube Analytics Data Categories List.txt,no,not observed in current cache buckets,query reports with dimensions=subscribedStatus,
Subscribers Gained,subscribersGained,metric,youtube_analytics_api,video_shared,subscribersGained,subscribers_gained,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/Youtube Analytics Data Categories List.txt; docs/Youtube API + Data/DATA_PROCESSING_REPORT.md,yes,yt_analytics_cache.analyticsByWindow + master rows,,
Subscribers Lost,subscribersLost,metric,youtube_analytics_api,video_shared,subscribersLost,subscribers_lost,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/Youtube Analytics Data Categories List.txt; docs/Youtube API + Data/DATA_PROCESSING_REPORT.md,yes,yt_analytics_cache.analyticsByWindow + master rows,,
Traffic Source Detail,trafficSourceDetail,dimension,youtube_analytics_api,traffic,trafficSourceDetail,traffic_source_detail,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/Youtube Analytics Data Categories List.txt; docs/Youtube API + Data/DATA_PROCESSING_REPORT.md,yes,yt_analytics_cache.trafficSources rows,,detail granularity depends on source type
Traffic Source Type,trafficSourceType,dimension,youtube_analytics_api,traffic,trafficSourceType,traffic_source_type,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/Youtube Analytics Data Categories List.txt; docs/Youtube API + Data/DATA_PROCESSING_REPORT.md,yes,yt_analytics_cache.trafficSources rows,,
Traffic: End Screen,trafficSourceType.END_SCREEN,dimension,youtube_analytics_api,long_only,END_SCREEN,20,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md,partial,only relevant where end screens exist,query traffic dimensions + long-form filter,long-form feature only
Traffic: Shorts Feed,trafficSourceType.SHORTS,dimension,youtube_analytics_api,short_only,SHORTS,18,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md,partial,only present for shorts-heavy rows/content,query trafficSourceType with contentType/format segmentation,not meaningful for long-form
Unique Viewers,uniqueViewers,metric,youtube_analytics_api,channel,uniqueViewers,unique_viewers,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/DATA_PROCESSING_REPORT.md,yes,yt_analytics_cache.channelAnalytics rows,,channel-level only
Uploader Type,uploaderType,dimension,youtube_analytics_api,channel,uploaderType,uploader_type,docs/Youtube API + Data/Youtube Analytics Data Categories List.txt,no,not observed in current cache buckets,query dimensions=uploaderType for eligible reports,
Videos Added To Playlists,videosAddedToPlaylists,metric,youtube_analytics_api,video_shared,videosAddedToPlaylists,,docs/Youtube API + Data/Youtube Analytics Data Categories List.txt,no,not observed in current cache buckets,query engagement report for playlist actions,
Videos Removed From Playlists,videosRemovedFromPlaylists,metric,youtube_analytics_api,video_shared,videosRemovedFromPlaylists,,docs/Youtube API + Data/Youtube Analytics Data Categories List.txt,no,not observed in current cache buckets,query engagement report for playlist actions,
Video Thumbnail Impressions,videoThumbnailImpressions,metric,youtube_analytics_api,video_shared,videoThumbnailImpressions,video_thumbnail_impressions,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/Youtube Analytics Data Categories List.txt; docs/Youtube API + Data/DATA_PROCESSING_REPORT.md; docs/Youtube API + Data/DATA_FLOW_COMPREHENSIVE_REPORT.md,partial,console shows repeated 400 on dimensions=video for this metric in some windows; fallback sometimes returns rows,query reports endpoint by window; fallback to channel-level + per-video retries; persist unsupported combination cache,metric availability varies by report/dimension/content type
Video Thumbnail CTR,videoThumbnailImpressionsClickRate,metric,youtube_analytics_api,video_shared,videoThumbnailImpressionsClickRate,video_thumbnail_impressions_ctr,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/Youtube Analytics Data Categories List.txt; docs/Youtube API + Data/DATA_PROCESSING_REPORT.md; docs/Youtube API + Data/DATA_FLOW_COMPREHENSIVE_REPORT.md,partial,current sync logs 400 for several combinations; occasionally available,query as standalone metric group; fallback to calculated ctr when clicks/impressions available,non-core metric and short-feed behavior mismatch
Viewer Percentage,viewerPercentage,metric,youtube_analytics_api,demographic,viewerPercentage,views_percentage,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/Youtube Analytics Data Categories List.txt; docs/Youtube API + Data/DATA_PROCESSING_REPORT.md,yes,yt_analytics_cache.demographics rows,,anonymous viewers excluded
Views,views,metric,youtube_analytics_api,video_shared,views,views,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/Youtube Analytics Data Categories List.txt; docs/Youtube API + Data/DATA_PROCESSING_REPORT.md,yes,yt_analytics_cache.analyticsByWindow + master rows,,
Views Per Playlist Start,viewsPerPlaylistStart,metric,youtube_analytics_api,video_shared,viewsPerPlaylistStart,,docs/Youtube API + Data/Youtube Analytics Data Categories List.txt,no,not observed in current cache buckets,query playlist report family,playlist context only
YouTube Revenue Split,youtube_revenue_split,field,youtube_reporting_api,monetization,,youtube_revenue_split,docs/Youtube API + Data/YOUTUBE_STATISTICS_EXHAUSTIVE_REFERENCE.md; docs/Youtube API + Data/YouTube API Data Reporting Overview.pdf,no,not ingested in current ViewTube sync,ingest system-managed financial CSV reports,reporting API financial report only; auto-delete window
Comment Likes and Dislikes History,youtubeCommentLikeHistory,field,personal_history,history,,,docs/Youtube API + Data/Personal Data Analytics (Comments:Posts:Watchhistory etc.).txt,no,not connected in current app state,ingest via Google Takeout interaction exports,privacy/consent required
Comments and Replies History,youtubeCommentsRepliesHistory,field,personal_history,history,,,docs/Youtube API + Data/Personal Data Analytics (Comments:Posts:Watchhistory etc.).txt,no,not connected in current app state,ingest via Google Takeout interaction exports,privacy/consent required
Community Post Interactions,youtubeCommunityPostHistory,field,personal_history,history,,,docs/Youtube API + Data/Personal Data Analytics (Comments:Posts:Watchhistory etc.).txt,no,not connected in current app state,ingest via Google Takeout interaction exports,privacy/consent required
User Feedback Not Interested,youtubeFeedbackNotInterestedHistory,field,personal_history,history,,,docs/Youtube API + Data/Personal Data Analytics (Comments:Posts:Watchhistory etc.).txt,no,not connected in current app state,ingest via exported activity files where available,privacy/consent required
Video Likes and Dislikes History,youtubeLikeDislikeHistory,field,personal_history,history,,,docs/Youtube API + Data/Personal Data Analytics (Comments:Posts:Watchhistory etc.).txt,no,not connected in current app state,ingest via Google Takeout interaction exports,privacy/consent required; no direct public API for full historical interaction log
Live Chat Messages History,youtubeLiveChatHistory,field,personal_history,history,,,docs/Youtube API + Data/Personal Data Analytics (Comments:Posts:Watchhistory etc.).txt,no,not connected in current app state,ingest via Google Takeout interaction exports,privacy/consent required
Playlist Voting Activity,youtubePlaylistVotingHistory,field,personal_history,history,,,docs/Youtube API + Data/Personal Data Analytics (Comments:Posts:Watchhistory etc.).txt,no,not connected in current app state,ingest via interaction export files,privacy/consent required
YouTube Product,youtubeProduct,dimension,youtube_analytics_api,traffic,youtubeProduct,,docs/Youtube API + Data/Youtube Analytics Data Categories List.txt,no,not observed in current cache buckets,query dimensions=youtubeProduct where supported,dimension support varies by report
Purchase Activity,youtubePurchaseHistory,field,personal_history,history,,,docs/Youtube API + Data/Personal Data Analytics (Comments:Posts:Watchhistory etc.).txt,no,not connected in current app state,ingest via account export/payment records with explicit consent,privacy/financial sensitivity
YouTube Search History,youtubeSearchHistory,field,personal_history,history,,,docs/Youtube API + Data/Personal Data Analytics (Comments:Posts:Watchhistory etc.).txt,no,not connected in current app state,ingest via user-provided Google Takeout exports + local parser and consented storage,no public YouTube API endpoint for full personal search history extraction
Sharing Activity History,youtubeSharingHistory,field,personal_history,history,,,docs/Youtube API + Data/Personal Data Analytics (Comments:Posts:Watchhistory etc.).txt,no,not connected in current app state,ingest via Google Takeout interaction exports,privacy/consent required
Channel Subscription Events,youtubeSubscriptionHistory,field,personal_history,history,,,docs/Youtube API + Data/Personal Data Analytics (Comments:Posts:Watchhistory etc.).txt,no,not connected in current app state,ingest via Google Takeout interaction exports,privacy/consent required
YouTube Watch History,youtubeWatchHistory,field,personal_history,history,,,docs/Youtube API + Data/Personal Data Analytics (Comments:Posts:Watchhistory etc.).txt,no,not connected in current app state,ingest via Google Takeout watch-history export + parser,no public endpoint for full personal watch history extraction
